farmer_id,barangay,elevation_masl,soil_pH,annual_rainfall_mm,mean_temperature_C,coffee_species,planting_system,farm_ownership,rsbsa_registered,years_in_farming,bearing_trees,non_bearing_trees,annual_yield_kg,processing_method,moisture_content_pct,defect_count_per_300g,selective_picking_practiced,farm_records_maintained,sales_records_maintained,cooperative_member,geographic_compliance,traditional_method_compliance,quality_linkage_documented,gi_ready
F0038,Barangay III,510.6,5.79,2559.2,20.0,Liberica,Monocrop,Leased,Yes,18,382,112,1105,Washed,13.35,41,Yes,No,Yes,Yes,Yes,Yes,Yes,1
F0039,Latag,155.3,5.92,1352.5,23.9,Liberica,Agroforestry,Shared,Yes,6,69,38,1429,Washed,12.87,41,Yes,Yes,No,Yes,No,No,No,1
F0040,Barangay V,523.2,6.57,1749.4,27.1,Liberica,Monocrop,Owned,No,18,134,46,1448,Natural,10.69,2,Yes,No,Yes,No,Yes,Yes,Yes,1
F0041,San Jose,163.7,6.78,2813.9,22.1,Liberica,Agroforestry,Owned,Yes,16,346,24,1050,Washed,10.77,25,Yes,Yes,No,Yes,No,Yes,Yes,1
F0042,Halang,298.6,6.91,2119.3,25.6,Excelsa,Monocrop,Leased,Yes,15,350,101,171,Washed,14.67,14,Yes,No,Yes,No,No,Yes,No,0
F0043,Banaybanay,498.6,6.57,2293.2,24.9,Liberica,Agroforestry,Owned,Yes,8,60,72,1139,Washed,14.93,16,Yes,Yes,Yes,Yes,Yes,No,Yes,1
F0044,Malagonlong,175.0,5.63,2065.6,27.4,Excelsa,Agroforestry,Owned,Yes,13,187,49,1517,Washed,11.84,26,Yes,Yes,No,Yes,No,Yes,Yes,1
F0045,Bubuyan,214.6,6.38,1287.8,26.4,Liberica,Agroforestry,Owned,No,43,148,112,75,Washed,13.81,17,Yes,No,Yes,No,No,No,No,0
F0046,Barangay V,461.1,5.88,1531.5,24.1,Liberica,Agroforestry,Owned,Yes,7,336,79,873,Washed,13.42,18,No,Yes,Yes,No,Yes,Yes,Yes,1
F0047,Maraouy,460.0,5.51,2091.1,24.9,Liberica,Monocrop,Owned,No,17,179,46,1038,Honey,10.78,11,Yes,Yes,Yes,Yes,Yes,No,Yes,1
F0048,Bagong Pook,420.6,6.68,1618.4,27.1,Liberica,Agroforestry,Owned,Yes,32,48,51,1291,Washed,9.35,23,Yes,Yes,No,Yes,No,Yes,No,1
F0049,Kayumanggi,447.0,5.08,1300.0,22.6,Liberica,Monocrop,Leased,Yes,22,78,9,39,Washed,9.86,4,No,Yes,Yes,Yes,Yes,Yes,No,1
F0050,Pangao,371.4,6.8,2887.3,21.9,Liberica,Agroforestry,Owned,Yes,13,245,93,693,Honey,14.03,23,No,Yes,No,No,Yes,Yes,Yes,1
F0051,Barangay III,225.9,5.92,3162.4,19.1,Liberica,Agroforestry,Owned,Yes,23,57,53,602,Washed,13.39,26,Yes,No,Yes,Yes,No,Yes,Yes,1
F0052,Tambo,272.8,6.27,2786.3,26.4,Liberica,Agroforestry,Owned,Yes,29,390,41,1583,Washed,12.99,29,Yes,Yes,No,No,Yes,Yes,No,1
F0053,Barangay IV,190.8,6.32,2907.6,26.2,Liberica,Agroforestry,Owned,No,22,66,38,1651,Washed,9.78,14,Yes,Yes,No,No,No,Yes,Yes,1
F0054,Sampaguita,554.2,6.79,1684.0,19.9,Liberica,Monocrop,Owned,No,1,286,77,678,Natural,12.84,37,Yes,Yes,Yes,No,Yes,Yes,Yes,0
F0055,Bubuyan,391.7,6.27,3121.3,24.2,Excelsa,Agroforestry,Shared,No,29,347,74,942,Washed,13.63,43,No,Yes,Yes,Yes,Yes,Yes,Yes,1
F0056,Dagatan,300.4,6.23,1593.9,23.2,Excelsa,Monocrop,Owned,No,5,108,22,1795,Natural,14.16,33,Yes,Yes,No,Yes,No,Yes,No,0
F0057,San Benito,331.0,5.13,3102.9,20.1,Liberica,Monocrop,Leased,No,35,24,82,669,Washed,9.08,26,No,No,No,No,Yes,Yes,Yes,0
F0058,San Lucas,573.6,6.04,3189.6,27.8,Liberica,Agroforestry,Owned,Yes,10,334,23,645,Washed,13.11,19,Yes,No,Yes,Yes,No,Yes,No,1
F0059,Banaybanay,176.7,5.3,2623.4,20.9,Liberica,Agroforestry,Leased,No,19,188,82,727,Natural,9.11,40,No,Yes,No,Yes,No,No,Yes,1
F0060,Bagong Pook,393.1,6.47,3162.3,19.6,Arabica,Monocrop,Owned,Yes,37,341,44,938,Honey,13.24,31,Yes,No,No,Yes,No,No,Yes,0
F0061,Barangay II,352.9,6.02,2339.1,24.4,Liberica,Monocrop,Owned,Yes,7,71,21,207,Washed,12.81,3,Yes,Yes,No,Yes,Yes,Yes,No,1
F0062,Santol,405.7,6.36,1719.1,25.6,Liberica,Monocrop,Leased,Yes,35,128,64,898,Natural,9.89,4,Yes,No,No,Yes,Yes,No,No,1
F0063,Banaybanay,109.1,5.08,2074.0,19.3,Liberica,Agroforestry,Owned,Yes,13,46,103,1059,Washed,13.6,7,Yes,Yes,Yes,Yes,No,No,Yes,1
F0064,Pinagkawitan,536.1,5.17,2387.1,24.9,Liberica,Monocrop,Leased,Yes,10,143,97,882,Washed,9.41,21,Yes,No,No,No,Yes,Yes,Yes,1
F0065,Halang,566.1,6.43,1346.2,23.8,Liberica,Agroforestry,Owned,No,2,35,46,336,Washed,13.96,41,No,Yes,Yes,No,Yes,Yes,No,1
F0066,Maraouy,382.6,5.14,2444.7,19.9,Robusta,Monocrop,Shared,Yes,6,17,85,577,Washed,10.57,6,Yes,Yes,Yes,Yes,Yes,No,No,1
F0067,Tambo,448.3,5.14,3162.4,20.6,Liberica,Monocrop,Leased,Yes,8,13,111,356,Washed,13.13,21,No,Yes,Yes,Yes,Yes,No,Yes,1
F0068,Sabang,561.2,5.02,1580.2,24.1,Robusta,Agroforestry,Shared,Yes,36,30,76,1409,Washed,14.54,29,Yes,Yes,Yes,No,No,No,Yes,0
F0069,Barangay VI,453.6,6.91,2785.2,21.7,Liberica,Agroforestry,Owned,Yes,25,158,69,424,Washed,11.04,36,Yes,Yes,Yes,No,No,No,No,1
F0070,San Benito,176.3,6.48,3015.8,27.4,Liberica,Agroforestry,Owned,Yes,44,34,113,329,Washed,12.02,15,No,Yes,Yes,Yes,No,Yes,No,1
F0071,Bubuyan,388.1,5.71,3087.4,26.4,Excelsa,Agroforestry,Leased,Yes,40,152,57,1579,Honey,11.78,14,Yes,Yes,Yes,No,Yes,Yes,No,1
F0072,Plaridel,403.4,5.59,3120.3,27.9,Liberica,Monocrop,Shared,Yes,7,254,104,778,Honey,9.95,4,Yes,No,No,No,No,Yes,Yes,1
F0073,Calamias,312.1,5.7,2242.9,21.3,Excelsa,Agroforestry,Shared,Yes,23,52,11,314,Natural,12.54,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0074,Barangay IV,468.2,6.55,3154.6,27.7,Liberica,Agroforestry,Owned,No,19,302,114,359,Washed,13.46,22,Yes,Yes,Yes,No,Yes,Yes,No,1
F0075,Bubuyan,567.2,6.32,2714.6,22.9,Liberica,Agroforestry,Leased,No,22,194,9,79,Washed,14.5,9,No,Yes,Yes,No,Yes,Yes,Yes,1
F0076,Lumbang,562.8,5.37,1523.3,22.1,Arabica,Monocrop,Owned,Yes,13,51,28,802,Natural,14.1,4,Yes,No,Yes,No,No,Yes,No,0
F0077,San Lucas,325.4,5.35,2153.8,19.5,Liberica,Agroforestry,Owned,Yes,21,101,32,1675,Honey,12.06,22,Yes,No,Yes,Yes,No,Yes,Yes,1
F0078,Latag,156.6,5.2,2636.7,19.5,Excelsa,Agroforestry,Owned,Yes,1,326,66,1762,Washed,13.31,14,No,Yes,Yes,No,No,Yes,Yes,0
F0079,Cumba,592.4,6.32,1694.7,25.2,Liberica,Agroforestry,Owned,No,19,333,111,407,Natural,13.8,17,Yes,Yes,No,No,No,Yes,Yes,1
F0080,Tangob,519.4,6.53,2481.2,23.1,Excelsa,Monocrop,Shared,Yes,33,62,21,1653,Honey,11.96,24,Yes,Yes,No,Yes,No,Yes,No,0
F0081,Halang,162.3,5.53,2533.2,21.0,Liberica,Monocrop,Owned,Yes,4,93,105,1029,Natural,9.69,7,No,No,No,No,Yes,Yes,No,1
F0082,Mabini,560.4,5.04,1525.4,24.5,Liberica,Agroforestry,Leased,No,42,43,24,1591,Washed,11.63,30,Yes,Yes,Yes,Yes,No,No,Yes,1
F0083,Maraouy,534.9,5.16,2330.2,21.3,Robusta,Agroforestry,Owned,Yes,3,85,7,803,Washed,14.05,20,No,Yes,Yes,Yes,Yes,No,Yes,1
F0084,Malagonlong,359.4,6.94,2743.3,24.2,Excelsa,Agroforestry,Owned,Yes,27,362,41,1197,Washed,12.58,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0085,Tangob,395.6,5.59,2197.8,22.2,Excelsa,Agroforestry,Owned,Yes,41,206,94,1113,Washed,13.35,21,No,Yes,No,No,Yes,Yes,No,1
F0086,San Salvador,299.5,6.54,1224.2,26.4,Excelsa,Agroforestry,Owned,No,35,295,19,897,Washed,10.11,7,No,Yes,Yes,No,Yes,No,Yes,0
F0087,Pinagkawitan,127.4,6.25,1218.1,26.4,Excelsa,Monocrop,Owned,No,28,97,55,1128,Washed,14.79,22,Yes,No,Yes,Yes,Yes,Yes,No,0
F0088,Calamias,267.6,5.76,1914.1,23.3,Liberica,Agroforestry,Leased,No,6,244,52,32,Natural,11.42,31,Yes,Yes,Yes,No,Yes,No,Yes,1
F0089,Tangob,501.4,5.41,3052.4,22.2,Liberica,Monocrop,Shared,Yes,6,241,12,1628,Washed,12.92,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0090,Anilao,102.3,5.24,1657.4,22.3,Liberica,Agroforestry,Owned,Yes,44,16,17,777,Washed,9.11,3,No,Yes,No,No,No,No,No,1
F0091,Malagonlong,266.7,6.23,2468.7,26.3,Liberica,Monocrop,Owned,No,23,301,52,1501,Washed,9.76,29,Yes,Yes,No,No,No,No,Yes,1
F0092,Barangay III,299.1,6.55,1644.2,22.0,Liberica,Monocrop,Owned,No,33,47,7,1794,Natural,13.69,18,Yes,Yes,No,No,Yes,No,Yes,0
F0093,Barangay V,368.7,6.29,1843.3,20.9,Liberica,Agroforestry,Leased,Yes,16,61,69,304,Natural,14.81,22,Yes,No,Yes,No,Yes,Yes,Yes,1
F0094,Mabini,559.9,6.06,2896.1,19.8,Liberica,Agroforestry,Owned,No,24,152,77,1583,Washed,10.92,17,No,Yes,No,Yes,Yes,No,Yes,1
F0095,Anilao,273.2,5.08,2657.7,23.2,Robusta,Agroforestry,Owned,Yes,5,230,35,1645,Natural,9.22,28,No,Yes,No,Yes,Yes,No,Yes,0
F0096,Tambo,273.5,6.94,1390.8,23.3,Liberica,Agroforestry,Owned,Yes,41,249,109,244,Washed,11.17,22,Yes,Yes,No,No,Yes,No,Yes,1
F0097,Barangay IV,468.8,6.6,2057.4,26.6,Liberica,Agroforestry,Shared,Yes,42,152,30,1736,Washed,9.1,32,Yes,Yes,Yes,Yes,No,Yes,No,1
F0098,Mabini,326.1,5.59,1258.3,21.0,Liberica,Agroforestry,Owned,Yes,13,358,85,1538,Natural,10.15,17,Yes,Yes,Yes,No,Yes,No,No,1
F0099,Barangay VII,212.3,6.96,2161.8,22.4,Robusta,Monocrop,Owned,No,12,372,60,358,Washed,13.51,43,Yes,Yes,No,No,Yes,Yes,No,0
F0100,Dagatan,326.2,6.2,2524.9,26.3,Robusta,Agroforestry,Shared,Yes,5,391,38,284,Washed,14.62,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0101,Barangay IV,170.4,6.16,1437.0,26.4,Robusta,Monocrop,Leased,Yes,37,58,13,1440,Washed,9.52,6,No,Yes,No,No,Yes,Yes,No,1
F0102,Sampaguita,188.2,6.5,1777.8,22.5,Liberica,Agroforestry,Leased,No,31,286,66,155,Washed,12.35,27,No,Yes,No,No,Yes,Yes,Yes,1
F0103,Sampaguita,349.2,6.62,1995.7,23.1,Liberica,Monocrop,Owned,No,28,280,119,796,Washed,10.52,0,Yes,Yes,Yes,No,Yes,No,Yes,1
F0104,Quezon,309.5,6.31,3039.1,21.7,Liberica,Agroforestry,Shared,Yes,28,23,17,1637,Natural,9.83,38,Yes,Yes,Yes,Yes,No,Yes,No,1
F0105,Barangay I,557.4,5.26,3186.5,27.4,Liberica,Monocrop,Leased,Yes,30,307,73,1603,Washed,10.31,33,Yes,No,Yes,Yes,Yes,Yes,No,1
F0106,Santol,281.2,5.68,1289.8,20.1,Liberica,Agroforestry,Shared,Yes,18,24,45,1377,Honey,12.47,38,Yes,Yes,No,Yes,Yes,No,Yes,1
F0107,San Jose,390.3,6.86,2722.0,27.4,Liberica,Agroforestry,Leased,Yes,44,243,81,1257,Washed,9.39,18,Yes,Yes,No,No,Yes,No,No,1
F0108,San Salvador,416.1,5.45,1943.4,25.2,Liberica,Agroforestry,Leased,No,27,72,5,1225,Washed,11.61,30,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0109,Pangao,106.5,5.74,1984.9,23.8,Arabica,Agroforestry,Owned,No,35,205,93,1788,Washed,9.81,12,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0110,Barangay III,431.8,5.86,2708.5,19.3,Arabica,Agroforestry,Owned,Yes,26,36,51,246,Washed,10.64,23,No,Yes,Yes,Yes,Yes,Yes,Yes,1
F0111,Barangay V,189.0,5.88,3036.9,23.3,Liberica,Agroforestry,Leased,Yes,39,102,8,1298,Washed,10.14,4,No,No,No,Yes,Yes,Yes,No,1
F0112,Barangay IV,580.5,6.23,3101.9,22.7,Liberica,Agroforestry,Owned,Yes,18,114,104,1389,Washed,14.3,22,Yes,No,Yes,No,Yes,Yes,Yes,1
F0113,Barangay VIII,174.3,6.89,2354.2,20.5,Liberica,Monocrop,Owned,No,33,318,67,1756,Washed,13.25,18,Yes,Yes,Yes,No,Yes,Yes,No,1
F0114,Sabang,307.3,5.48,1914.2,24.9,Liberica,Agroforestry,Owned,Yes,25,61,56,1351,Natural,14.21,0,No,Yes,No,No,Yes,Yes,No,1
F0115,Quezon,142.7,5.24,2775.1,27.7,Excelsa,Agroforestry,Leased,Yes,31,328,14,861,Washed,11.3,32,No,Yes,Yes,No,Yes,No,No,0
F0116,Lumbang,598.4,5.39,1702.0,24.1,Liberica,Monocrop,Owned,Yes,37,190,32,211,Natural,10.88,32,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0117,Mabini,351.1,6.77,2328.1,25.4,Robusta,Agroforestry,Leased,Yes,2,66,10,363,Natural,11.28,31,Yes,No,Yes,No,Yes,Yes,No,0
F0118,San Carlos,397.7,6.29,1917.2,19.6,Liberica,Agroforestry,Leased,Yes,33,129,31,540,Washed,9.11,27,Yes,No,Yes,No,Yes,Yes,No,1
F0119,Sampaguita,133.5,5.57,2513.3,22.8,Arabica,Agroforestry,Owned,Yes,39,317,16,412,Washed,13.35,36,Yes,No,Yes,Yes,Yes,Yes,Yes,1
F0120,Tambo,475.0,6.63,1680.8,20.0,Liberica,Monocrop,Owned,No,43,372,66,1770,Washed,11.1,40,Yes,Yes,No,No,Yes,Yes,No,0
F0121,San Lucas,205.0,6.72,1583.2,24.5,Robusta,Monocrop,Owned,No,43,52,56,1252,Natural,10.88,11,Yes,Yes,No,No,Yes,Yes,Yes,0
F0122,Lodlod,549.0,6.69,3036.5,27.4,Liberica,Monocrop,Owned,No,32,144,52,361,Washed,12.59,8,Yes,No,No,Yes,Yes,Yes,No,1
F0123,Mojon,202.6,6.84,1403.6,25.0,Robusta,Agroforestry,Owned,Yes,18,382,71,1218,Washed,11.62,10,Yes,No,No,Yes,Yes,Yes,Yes,1
F0124,Sampaguita,195.3,5.5,2211.9,19.7,Liberica,Monocrop,Owned,Yes,17,269,50,1295,Washed,14.89,32,Yes,No,Yes,Yes,No,Yes,Yes,1
F0125,Anilao,118.3,6.51,1641.7,22.2,Liberica,Agroforestry,Shared,Yes,34,206,101,929,Washed,11.14,18,No,Yes,Yes,Yes,No,Yes,Yes,1
F0126,Sampaguita,336.0,5.92,1277.9,24.0,Excelsa,Agroforestry,Owned,Yes,39,142,78,671,Washed,12.68,41,Yes,Yes,Yes,Yes,No,No,Yes,1
F0127,San Carlos,382.4,6.68,1272.0,22.6,Excelsa,Agroforestry,Leased,No,7,264,99,1280,Natural,10.87,33,Yes,Yes,No,Yes,No,Yes,No,0
F0128,Bubuyan,132.9,6.46,1550.4,26.5,Excelsa,Agroforestry,Owned,Yes,42,229,19,663,Washed,14.94,6,Yes,Yes,No,Yes,No,Yes,No,1
F0129,Balintawak,487.8,6.55,2933.5,26.3,Robusta,Agroforestry,Leased,Yes,35,345,75,1609,Honey,11.67,30,Yes,Yes,Yes,Yes,No,Yes,No,0
F0130,Anilao,326.6,6.31,1765.0,24.5,Excelsa,Agroforestry,Owned,No,30,50,40,480,Natural,12.8,1,Yes,Yes,Yes,No,Yes,No,Yes,1
F0131,Barangay I,362.2,5.35,3100.9,22.4,Liberica,Agroforestry,Leased,No,12,397,18,225,Washed,9.76,18,Yes,Yes,Yes,Yes,Yes,No,No,1
F0132,Maraouy,320.4,6.09,2363.2,21.3,Liberica,Agroforestry,Leased,Yes,35,264,116,1257,Washed,13.4,37,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0133,Bubuyan,300.4,6.97,2073.2,20.0,Liberica,Monocrop,Leased,Yes,11,11,82,487,Washed,10.62,31,Yes,Yes,No,Yes,Yes,No,No,1
F0134,San Jose,379.8,6.87,2360.2,22.2,Robusta,Agroforestry,Owned,Yes,44,204,7,859,Washed,11.69,9,Yes,Yes,Yes,Yes,No,Yes,Yes,1
F0135,Mojon,177.6,5.09,2233.4,22.7,Liberica,Monocrop,Leased,Yes,4,251,117,286,Washed,14.3,40,No,No,No,Yes,Yes,No,Yes,0
F0136,Barangay V,191.0,5.33,2717.6,25.1,Liberica,Agroforestry,Owned,Yes,25,158,114,1582,Honey,14.82,7,Yes,Yes,Yes,No,No,Yes,No,1
F0137,Calamias,530.9,5.26,1765.0,24.9,Liberica,Monocrop,Owned,Yes,32,207,118,1325,Washed,11.55,25,Yes,Yes,No,No,Yes,Yes,Yes,1
F0138,Calamias,573.1,6.45,1906.1,19.6,Excelsa,Agroforestry,Owned,No,20,308,71,38,Washed,14.01,29,Yes,No,No,Yes,Yes,No,Yes,0
F0139,Maraouy,286.7,6.64,2988.2,22.6,Liberica,Agroforestry,Owned,Yes,31,254,90,790,Washed,9.32,10,Yes,No,No,No,Yes,Yes,No,1
F0140,Santol,235.4,5.43,3092.9,20.6,Liberica,Agroforestry,Owned,Yes,4,347,23,978,Washed,14.09,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0141,Bolbok,422.0,6.01,2985.1,20.4,Liberica,Agroforestry,Leased,Yes,38,117,103,1254,Natural,12.78,19,Yes,No,Yes,No,Yes,Yes,Yes,1
F0142,Poblacion Barangay,304.4,6.68,2038.9,26.4,Liberica,Monocrop,Owned,Yes,1,221,80,1112,Washed,11.93,19,No,Yes,Yes,No,No,Yes,Yes,1
F0143,San Jose,112.7,6.47,2760.7,19.4,Liberica,Agroforestry,Owned,No,3,165,58,916,Washed,14.34,8,No,Yes,Yes,No,No,Yes,Yes,1
F0144,Poblacion Barangay,178.1,6.08,2152.7,22.8,Robusta,Agroforestry,Owned,Yes,37,35,73,422,Washed,14.07,7,Yes,Yes,No,No,No,Yes,Yes,1
F0145,Banaybanay,458.0,6.18,2195.1,20.5,Robusta,Monocrop,Leased,Yes,22,91,14,1705,Natural,10.78,14,No,Yes,No,No,Yes,No,No,0
F0146,Pinagtongulan,429.5,6.02,1609.4,26.9,Robusta,Monocrop,Owned,Yes,17,92,109,1172,Washed,13.75,33,Yes,No,Yes,No,No,No,Yes,0
F0147,San Carlos,113.5,5.6,2382.3,24.0,Liberica,Agroforestry,Owned,No,14,140,37,1606,Honey,9.6,23,No,No,Yes,No,Yes,No,No,1
F0148,Lumbang,211.0,6.13,1572.3,21.1,Excelsa,Agroforestry,Leased,Yes,41,338,17,428,Washed,13.94,32,Yes,No,Yes,No,Yes,No,Yes,0
F0149,San Jose,215.5,6.38,1863.1,23.5,Liberica,Agroforestry,Owned,No,35,109,103,360,Washed,13.05,40,Yes,No,No,No,No,No,Yes,1
F0150,Tangob,435.9,6.75,2910.1,25.6,Liberica,Agroforestry,Owned,Yes,13,265,55,1320,Washed,9.53,40,Yes,Yes,No,No,Yes,Yes,No,1
F0151,Calamias,109.9,6.27,1614.2,27.6,Excelsa,Agroforestry,Owned,Yes,35,58,36,1573,Washed,13.1,44,Yes,No,Yes,No,Yes,Yes,No,0
F0152,Talisay,152.1,6.52,1342.3,21.0,Liberica,Monocrop,Leased,Yes,43,72,79,1748,Washed,12.48,39,No,No,Yes,No,Yes,Yes,No,0
